date_time,city,state_province,country,ufo_shape,length_of_encounter_seconds,described_duration_of_encounter,description,date_documented,latitude,longitude
2014-03-11 04:02:00,guilderland,ny,us,light,20,20 seconds,Bright lights traveling together.,2014-03-18,42.7044444,-73.9119444
2014-03-11 06:30:00,garden grove,ca,us,diamond,1200,20 minutes,Shape of a top with colors of green white and pinkish orange seen it for almost a month straight. i have video of it.,2014-03-18,33.7738889,-117.9405556
2014-03-11 06:35:00,boulder,co,us,other,120,2 minutes,Loud Noise Along with UFO flashing lights aircraft.,2014-03-18,40.015,-105.27
2014-03-11 11:00:00,new york city (brooklyn),ny,us,cylinder,300,5 minutes,SILVER BULLET UFO HOVERING STATIONARY IN BROOKLYN SKY&#44 THEN VANISHED&#33,2014-03-18,40.7141667,-74.0063889
2014-03-11 16:56:00,lowell,mi,us,sphere,5,5 seconds,The object looked like it was getting closer to me then stopped hovered for a second then looked like it was dropping slow.,2014-03-18,42.9336111,-85.3419444
2014-03-11 20:25:00,mauldin,sc,us,triangle,120,2 minutes,3 reddish orange oval shaped craft gliding across the sky in formation right over my house as my husband and I went out to see why the,2014-03-18,34.7786111,-82.3102778
2014-03-11 20:36:00,des moines,ia,us,disk,33,33 seconds,Disc shaped object flashing red and blue lights.,2014-03-18,41.6005556,-93.6088889
2014-03-11 21:45:00,sunrise,fl,us,light,120,2 minutes,Just very bright light then red then blue then green moving unlike any normal Craft in right angles then gone.,2014-03-18,26.1336111,-80.1133333
2014-03-11 22:20:00,lakeland,fl,us,circle,60,1 minute,Spinning Circle with blueish and whitish lights around it.,2014-03-18,28.0391667,-81.95
2014-03-11 22:30:00,sunrise,fl,us,circle,1800,30 minutes,Changing lights very fast speeds&#44 movement up and down.,2014-03-18,26.1336111,-80.1133333
2014-03-01 00:00:00,anchorage,ak,us,light,180,2-3 minutes,9 red dots hovering  low in the sky moving very slowly to the west.,2014-03-18,61.2180556,-149.9002778
2014-03-01 00:00:00,palm city,fl,us,oval,60,1 minute,Video of bright orange or colored unidentified object in sky.,2014-03-18,27.1675,-80.2663889
2014-03-01 12:00:00,apollo beach,fl,us,oval,600,10 minutes,As I was walking my dog at approximately 12:00 noon&#44 on a beautiful clear day&#44 I saw what I first thought were a group of birds high in,2014-03-18,27.7727778,-82.4077778
2014-03-01 17:45:00,garner,nc,us,sphere,60,1 minute,Two flashing orbs.,2014-03-18,35.7111111,-78.6144444
2014-03-01 19:00:00,everett,pa,us,light,180,3+ minutes,8+ red-orange lights in south-central Pennsylvania.,2014-03-18,40.0113889,-78.3736111
2014-03-01 19:40:00,tampa,fl,us,triangle,300,5 minutes,String of blinking red light aircraft.,2014-03-18,27.9472222,-82.4586111
2014-03-01 20:00:00,arlington,va,us,,300,>5 minutes,Four round white lights circling and converging at center an then circling and converging&#44 in the sky at Arlington&#44 VA,2014-03-18,38.8902778,-77.0844444
2014-03-01 20:00:00,sacramento,ca,us,circle,120,2 minutes,As I was driving west bound on Fruitridge rd approaching Freeport blvd I noticed 4 orange orbs in the sky. 3 made a triangle while the,2014-03-18,38.5816667,-121.4933333
2014-03-01 20:00:00,south bend,wa,us,light,120,~2 minutes,Unusual lights seen over a swamp south of South Bend&#44 WA,2014-03-18,46.6633333,-123.8033333
2014-03-01 21:00:00,lynchburg,va,us,light,300,~5 minutes,6-10 Orange lights move slowly and silently across the sky&#44 and then suddenly disappear.,2014-03-18,37.4136111,-79.1425
2014-03-01 21:10:00,davie,fl,us,disk,240,4 minutes,Amber Disk Sighted near Ft. Lauderdale International Airport.,2014-03-18,26.0625,-80.2333333
2014-03-01 21:16:00,portland,me,us,other,3000,40-50 minutes,4 revolving lights in the sky.  ((NUFORC Note:  Possible advertising lights&#44 we wonder.  PD)),2014-03-18,43.6613889,-70.2558333
2014-03-01 21:30:00,patchogue,ny,us,light,600,10 minutes,While driving down the road my husband first noticed the lights in the sky.  It did not look like anything we have ever seen.,2014-03-18,40.7655556,-73.0155556
2014-03-01 21:45:00,miami,fl,us,circle,120,2 minutes,My girlfriend and I saw a strange ORANGE orb about 800-1000 feet above us flying at a normal speed.  It made no sound and flew into the,2014-03-18,25.7738889,-80.1938889
2014-03-01 21:50:00,riva,md,us,circle,600,8-10 minutes,I witnessed two fast-moving red lights which made no sound.,2014-03-18,38.9519444,-76.5783333
2014-03-01 22:05:00,coral springs,fl,us,cone,300,5 minutes,Saw five cone shaped objects glowing orange heading Southwest in straight slightly offset formation. I stopped my car turned off the en,2014-03-18,26.2708333,-80.2708333
2014-03-01 23:15:00,rock hill,sc,us,light,20,20 seconds,Arcing Light Ball.,2014-03-18,34.9247222,-81.0252778
